source,partition_key,files,records,bytes,content_sha256
simulated_orders,ingestion_date=2026-08-28/wh=bcn1,1,59057,46343414,a4a713a109228a9a956ed4580c9588cc5c656b72c71e0c531a0d9742f2d8d742
simulated_orders,ingestion_date=2026-08-28/wh=mad1,1,64667,51030061,6b90d3dbe321f322eaf0cac68a12d9a1342d148001d98653445b66d9e5a6f336
simulated_orders,ingestion_date=2026-08-28/wh=svq1,1,15419,12099876,46ca8e88ffea2174d36da3b1fcc17caf6ef074dc11003bb2ce65a1503f46c20b
simulated_orders,ingestion_date=2026-08-28/wh=vlc1,1,20245,15854502,76275f97b98c8c3e4c2b381e3a83a71404af7a616dee0cd7216e4a1cae8d13cb
simulated_orders,ingestion_date=2026-08-29/wh=bcn1,1,59205,46298688,9e2217cdfe5ed5b8f4b0220d5070135a7fc39e194e48719a43ac6171112611a2
simulated_orders,ingestion_date=2026-08-29/wh=mad1,1,64680,50895475,0d9ee515cc8c606db6614e0f47c4a904351865d6863df4f51451ded4478c0b8e
simulated_orders,ingestion_date=2026-08-29/wh=svq1,1,15315,11980755,b48de55924ee4407d14b03fc42144b68e43fa498c9489692f106c01fa3a87f87
simulated_orders,ingestion_date=2026-08-29/wh=vlc1,1,20191,15727123,7e42ad76c2fbfcbe28a9e998a01fb9393ef355105c8b4e4801a70cbab506aa4d
simulated_orders,ingestion_date=2026-08-30/wh=bcn1,1,58959,46410568,96188226c5c99012920eb0d0cd06bfd40aa1428765ba13b0edd8dc6a249599e2
simulated_orders,ingestion_date=2026-08-30/wh=mad1,1,64617,50873527,6f09fc638cbdc809cbad43fe43febbdeddb1935cabf920ef3f8f938054e22336
simulated_orders,ingestion_date=2026-08-30/wh=svq1,1,15429,12078695,65af7350f80df5b49f00e554d36b64469dd04e1ad986bc4432035ed602f16bbf
simulated_orders,ingestion_date=2026-08-30/wh=vlc1,1,20268,15900618,f30554e123b99eb1aba8ef51ee7e30f2a2ff1b6e170e10bab07c8a827fa9dcbf
simulated_orders,ingestion_date=2026-08-31/wh=bcn1,1,59043,46486800,ce8d93d5911d84637dd01952d53cb6384369e313a0df707bb5c97c0784e970ba
simulated_orders,ingestion_date=2026-08-31/wh=mad1,1,64676,50839299,e3484d6950a3ccf6d71afa5755c9dd7f8c1d82f15f4db6a7ebc9dfbf0ba7897f
simulated_orders,ingestion_date=2026-08-31/wh=svq1,1,15412,12096913,74204b6eb1b010223a1568974ae76f46af766b3e3c3b90a191a7df675e18ede7
simulated_orders,ingestion_date=2026-08-31/wh=vlc1,1,20244,15915506,646dffbc44e1749e85100038474573292cbfd2c7be7c2c00a741c0c597a6ad55
simulated_orders,ingestion_date=2026-09-01/wh=bcn1,1,58826,46327018,f3d5a8f67db689a1cde5bead2670d0a2a53c2354020f00920bc449beb4721a07
simulated_orders,ingestion_date=2026-09-01/wh=mad1,1,64532,50766376,b01b40423fa85d16ce65743d355f24d1e2c28dda45c1364a307cb3f0ff8be7f8
simulated_orders,ingestion_date=2026-09-01/wh=svq1,1,15137,11803911,569354addfaf5a2e51f28ec32dfb9da7e1ad56b6d4c58591da31c60e94b3358c
simulated_orders,ingestion_date=2026-09-01/wh=vlc1,1,20070,15736340,3f34d2daae10e579a9a32009127a58fad580867aad66e63978cd424fcf3ffb72
